Original Text,Extracted Laws
"1. 범죄사실에 대한 해당법조
각 교통사고처리 특례법 제3조 제1항, 형법 제268조(업무상 과실치사의 점), 각 같은 법 제3조 제1항, 제2항 단서 제2호, 형법 제268조(업무상 과실치상의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
금고형 선택","특례법 3조 제1항, 형법 268조, 형법 40조"
"1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리 특례법 제3조 제1항, 제2항 단서 제1호, 형법 제268조(금고형 선택)
1. 집행유예
형법 제62조 제1항","특례법 3조 제1항, 형법 268조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
교통사고처리 특례법 제3조 제1항, 형법 제268조 (금고형 선택)
1. 집행유예
형법 제62조 제1항 (아래에서 보는 정상 참작)
1. 사회봉사명령
형법 제62조의2","특례법 3조 제1항, 형법 268조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
교통사고처리특례법  제3조 제1항, 제2항 단서  제1호, 제2호, 형법  제268조(금고형  선택)
[양형이유]
○ 양형기준 : 금고 8월 ~ 1년 6월
- 교통사고 치상 가중영역(교통사고처특례법 제3조 제2항 단서 중 위법성이 중한 경우)
○ 피고인이 교통사고처리특례법 제3조 제2항 단서 제1호, 제2호 사유에 해당하여 그 위법성의 정도가 크고, 피해자의 상해 정도 또한 중한 점, 피해자가 피고인의 처벌 을 탄원하고 있는 점 등을 종합하여 실형을 선택하되, 기록과 변론에 나타난 범행 경위, 종합보험 가입, 반성태도 등 여러 정상을 아울러 참작하여 주문과 같이 형을 정함(양형기준 비적용)","교통사고처리특례법 3조 제1항, 교통사고처리특례법 3조 제2항 단서 제1호, 교통사고처특례법 3조 제2항 단서, 형법 268조"
"1. 범죄사실에 대한 해당법조
각 교통사고처리 특례법 제3조 제1항, 제2항 단서 제3호, 형법 제268조
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
금고형 선택
1. 집행유예
형법 제62조 제1항","특례법 3조 제1항, 형법 268조, 형법 40조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조 및 형의 선택 : 교통사고처리특례법 제3조 제1항, 제2항 단서 제2호, 제3호, 형법 제268조
1. 상상적 경합 : 형법 제40조, 제50조
1. 형의 선택 : 금고형 선택","교통사고처리특례법 3조 제1항, 형법 268조, 형법 40조"
"1. 범죄사실에 대한 해당법조 및 형의 선택(피고인 C)
교통사고처리 특례법 제3조 제1항, 제2항 단서 제9호, 형법 제268조(벌금형 선택)
1. 노역장유치(피고인 C)
형법 제70조 제1항, 제69조 제2항
1. 가납명령(피고인 C)
형사소송법 제334조 제1항","특례법 3조 제1항, 형법 268조, 형법 70조 제1항, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리 특례법 제3조 제1항, 형법 제268조(금고형 선택)
1. 집행유예
형법 제62조 제1항(피해자 유족과 합의한 점, 이 사건 사고의 발생에는 도로를 무단횡단한 피해자의 과실도 관여한 것으로 인정되는 점 등 참작)
무 죄 부 분
1. 피고인 乙에 대한 공소사실의 요지
피고인은 2013. 9. 14. 04:00경 대전 ****호 쏘나타 택시를 운전하여 대전 동구 편도 3차로의 도로를 **네거리 방면에서 **육교 방면으로 3차로를 따라 불상의 속력으로 진행하게 되었는데, 전방을 주시하여 도로 상에 사람이 없는지 잘 살피고 조향장치 및 제동장치를 정확하게 조작하여 안전하게 운전하여야 할 업무상 주의의무가 있음에도 이를 게을리하여 피고인 甲 운전의 화물차량에 충격되어 3차로에 쓰러져 있는 피해자 A를 발견하지 못하고 그대로 진행하여 위 택시 좌측 바퀴 부분으로 피해자의 우측 다리 부위를 역과하여 피해자에게 다발성 골절 등의 상해를 입게 하고, 2013. 9. 14. 05:32경 대전 중구에 있는 **병원에서 치료를 받던 중 혈복증, 저혈량성 쇼크로 사망에 이르게 하였다.","특례법 3조 제1항, 형법 268조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
교통사고처리특례법  제3조 제1항, 제2항 단서  제8호, 형법  제268조(각 금고형  선택), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(징역형 선택)
1. 상상적 경합
형법 제40조, 제50조
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2","교통사고처리특례법 3조 제1항, 도로교통법 148조, 형법 268조, 형법 37조, 형법 40조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리특례법 제3조 제1항, 제2항 단서 제8호, 형법 제268조(업무상 과실치상의 점, 금고형 선택), 도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점, 징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조","교통사고처리특례법 3조 제1항, 도로교통법 148조, 형법 268조, 형법 37조"
