baseline1_AlphaMist,baseline1_gpt,baseline2_AlphaMist,baseline2_gpt,baseline3_AlphaMist,baseline3_gpt
"['형법 제263조', '형법 제262조']",[],[],[],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제62조', '형법 제62조']",[]
"['도로교통법 제44조', '도로교통법 제44조', '도로교통법 제44조']","['도로교통법 제44조', '형법 제148조']",['도로교통법 제44조'],[],"['도로교통법 제44조', '형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조', '형법 제152조', '도로교통법 제44조']","['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조']"
[],[],[],[],"['형법 제250조', '형법 제160조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제250조', '형법 제160조', '형법 제38조']",[]
[],[],[],[],[],"['법률 제2조', '형법 제350조', '형법 제37조']"
[],[],[],[],"['형법 제250조', '형법 제10조', '형법 제55조', '형법 제48조']",[]
[],[],[],[],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조', '형법 제152조', '형법 제152조', '도로교통법 제44조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제37조', '형법 제38조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제55조', '형법 제62조', '형법 제62조']","['도로교통법 제44조', '형법 제152조']"
[],[],[],['도로교통법 제44조'],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제62조']","['도로교통법 제44조', '도로교통법 제44조']"
[],[],[],[],[],"['도로교통법 제44조', '형법 제37조', '형법 제55조']"
[],[],[],['도로교통법 제44조'],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조', '형법 제152조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제53조', '형법 제55조', '도로교통법 제44조', '형법 제32조']","['도로교통법 제44조', '형법 제314조']"
"['도로교통법 제11조', '도로교통법 제21조', '도로교통법 제22조', '도로교통법 제23조', '도로교통법 제24조', '도로교통법 제11조']",['교통안전법 제26조'],[],[],"['변호사법 제110조', '변호사법 제109조', '변호사법 제34조', '형법 제257조', '형법 제281조', '형법 제276조', '형법 제156조', '형법 제37조', '형법 제38조', '형법 제50조']",[]
[],"['산업안전보건법 제63조', '산업안전보건법 제64조']",[],[],"['형법 제268조', '산업안전보건법 제71조', '형법 제30조', '형법 제40조', '형법 제50조', '형법 제37조', '형법 제38조', '형법 제62조', '형사소송법 제334조', '형법 제268조', '형법 제37조', '형법 제38조', '형법 제40조', '형법 제62조', '형사소송법 제334조']","['형법 제250조', '형법 제250조']"
[],[],[],[],"['특례법 제3조', '형법 제268조', '특례법 제3조', '특례법 제3조', '도로교통법 제44조', '형법 제40조', '형법 제50조', '형법 제37조', '형법 제38조', '형법 제50조', '특례법 제3조', '형법 제268조', '특례법 제3조', '특례법 제3조', '도로교통법 제44조', '형법 제40조', '형법 제50조', '형법 제37조', '형법 제38조']","['형법 제250조', '형법 제257조', '형법 제307조']"
[],['도로교통법 제44조'],[],[],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제62조', '형법 제322조', '도로교통법 제44조', '형법 제32조']","['형법 제152조', '도로교통법 제44조']"
[],"['형법 제136조', '형법 제260조']",['도로교통법 제8조'],[],[],[]
"['도로교통법 제4조', '도로교통법 제33조']",['도로교통법 제44조'],[],"['형법 제250조', '형법 제250조']","['형법 제329조', '형법 제330조', '형법 제334조', '형법 제337조', '형법 제339조', '형법 제42조', '형법 제52조', '형법 제61조', '형법 제329조', '형법 제330조', '형법 제334조', '형법 제337조', '형법 제339조', '형법 제42조', '형법 제52조', '형법 제61조']","['형법 제333조', '형법 제298조', '형법 제268조']"
[],[],['형법 제270조'],[],"['형법 제40조', '형법 제50조', '형법 제268조', '형법 제40조', '형법 제50조', '형법 제268조']","['형법 제152조', '형법 제152조', '형법 제31조', '형법 제153조', '형법 제55조', '형법 제37조', '형법 제39조']"
[],[],[],[],"['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조', '형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조', '형법 제50조', '형법 제53조', '형법 제55조', '형법 제62조']","['형법 제152조', '도로교통법 제44조', '형법 제32조', '형법 제37조', '형법 제38조']"
[],[],[],[],[],"['도로교통법 제44조', '형법 제37조', '형법 제38조', '형법 제62조']"
