index,범죄 사실,법령의 적용
1,"피고인은 C 포터 화물차의 운전업무에 종사하는 사람이다.
피고인은 2016. 7. 11. 17:00경 위 화물차를 운전하여 강원 정선군 D 앞 편도 1차로의 도로를 여량면 방면에서 정선읍 방면으로 불상의 속도로 진행하게 되었다.
그곳은 좌로 굽은 도로이고, 황색실선의 중앙선이 설치된 곳이므로 자동차의 운전업무에 종사하는 사람에게는 전방좌우 주시를 철저히 하고 차선을 지켜 안전하게 운행하며 조향 및 제동장치를 정확하게 조작하여 사고를 미연에 방지하여야 할 업무상의 주의의무가 있었다.
그럼에도 불구하고 피고인은 이를 게을리  한 채 중앙선을 침범하여  진행한 과실로 때마침 반대 차로에서 직진하여 진행하는 피해자 E(34세)이 운전하는 F 그랜저 승용차 앞부분을 피고인 운전의 위 화물차 우측 옆 부분으로 들이받았다.
결국 피고인은 위와 같은 업무상 과실로 위 피해자 및 위 승용차의 동승자인 피해자G(여, 29세)으로 하여금 각 2016. 7. 11. 17:09경 위 도로에 있는 그랜저 승용차 내에서 과다출혈로 인한 심폐정지로 사망에 이르게  함과 동시에 같은 피해자 H(2세)에게 약 14주간의 치료가 필요한 우측슬관절 대퇴골 원위부 1/3 골간 개방성 분쇄골절의 상해를, 같은 피해자 I(0세)에게 약 6주간의 치료가 필요한 좌측 상완골 간부 골절의 상해를, 위 화물차의 동승자인 피해자 J(50세)에게 약 8주간의 치료가 필요한 외상성 거미막하 출혈 등의 상해를, 같은 피해자 K(여, 50세)에게 약 6주간의 치료가 필요한 외상성 기흉 등의 상해를, 같은 피해자 L(여, 45세)에게 약 4주간의 치료가 필요한 다발성 늑골절의 상해를 각각 입게 하였다.","1. 범죄사실에 대한 해당법조
각 교통사고처리 특례법 제3조 제1항, 형법 제268조(업무상 과실치사의 점), 각 같은 법 제3조 제1항, 제2항 단서 제2호, 형법 제268조(업무상 과실치상의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
금고형 선택"
2,"피고인은 C K5 승용차의 운전업무에 종사하는 사람이다.
피고인은 2016. 5. 14. 13:10경 위 차량을 운전하여 서울 송파구 D 앞 도로를 기업은행 풍납지점 쪽에서 풍납동 전통시장 쪽으로 차선이  없는 이면도로를 따라 미상의 속도로 진행하게 되었다.
그곳은 시장 인접 지점으로 평소 차량 및 행인의 통행이 많은 곳이고, 전방에는 회전 교차로로 회전하는 방향을 알리는 표지판이 설치되어 있고 노면에는 진행방향 표시가 되어있는 곳이었으므로 이러한 경우 자동차의 운전업무에 종사하는 사람에게는 속도를 줄이고 전방을 잘 살펴 교차로를 통행하는 차량이 있는지 여부를 확인하는 한편교통표지  및 방향지시에 따라 안전하게 운전하여 사고를 미리 방지하여야 할 업무상주의의무가 있었다.
그럼에도 피고인은 이를 게을리 한 채 회전표지판 및 노면 표시 방향과는 달리 역주행하여 진행한 과실로 때마침 진행방향 우측에서 좌측으로 도로를 횡단하던 피해자 E(여, 74세)의 측면 부위를 피고인의 위 차량 앞범퍼 부분으로 충격하였다.
이렇게 하여 피고인은 위와 같은 업무상의 과실로 피해자에게 약 10주간의 치료가 필요한 제1요추 압박골절 등의 상해를 입게 하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리 특례법 제3조 제1항, 제2항 단서 제1호, 형법 제268조(금고형 선택)
1. 집행유예
형법 제62조 제1항"
3,"피고인은 **서****호 스타렉스 승합차의 운전업무에 종사하는 사람이다.
피고인은 2015. 12. 12. 06:55경 위 승합차를 운전하여 울산 울주군 범서읍 울밀로 2774-1에  있는 풍운가든 앞 편도 3차로의 도로를 1차로를 따라 무거  방면에서  언양 방면으로 진행하게 되었다.
그곳 전방에는 신호등이 설치된 횡단보도가 있었으므로 자동차의 운전업무에 종사하는 사람에게는 속도를 줄이고 전방 및 좌우를 잘 살펴 길을 건너는 사람이 있는지 여부를 확인하고 교통신호에 따라 안전하게 운전하여 사고를 미연에 방지하여야 할 업무상 주의 의무가 있었다.
그럼에도 불구하고 피고인은 이를 게을리한 채 신호가 차량 정지신호임에도 그대로 진행한 과실로 보행자 신호에 따라 횡단보도를 건너던 피해자 장OO(48세)을 들이받았다.
결국 피고인은 위와 같은 업무상 과실로 같은 날 07:24경 위 도로에서 피해자를 두개골 골절 및 외상성 중증뇌손상으로 사망하게 하였다.","1. 범죄사실에 대한 해당법조
교통사고처리 특례법 제3조 제1항, 형법 제268조 (금고형 선택)
1. 집행유예
형법 제62조 제1항 (아래에서 보는 정상 참작)
1. 사회봉사명령
형법 제62조의2"
4,"피고인은 부산금정라****호 메가젯 오토바이의 운전업무에 종사하는 사람이다.
피고인은 2015. 11. 22. 20:08경 위 오토바이를 운전하여 양산시 삼호동에 있는 두배로 마트 앞 사거리 교차로를 웅상중앙병원에서 누리마루 감자탕 방면으로 좌회전하게 되었다.
그곳은 황색실선의 중앙선이 설치되어  있고 신호등이 설치된 교차로이므로, 운전업무에 종사하는 사람에게는 전방주시를 철저히 하고 차선과 신호를 지켜 안전하게 운행하여야 할 업무상 주의의무가 있었다.
그럼에도 불구하고 피고인은 신호를 위반하고 중앙선을 침범하여  중앙선의  왼쪽으로 주행한 업무상 과실로, 마침 반대차로에서 진행하던 피해자 최B가 운전하는 경남 양산 아****호 오토바이를 들이받아 피해자에게 약 6주간의 치료가 필요한 관골궁의 골절상 등을 입게 하였다.","1. 범죄사실에 대한 해당법조
교통사고처리특례법  제3조 제1항, 제2항 단서  제1호, 제2호, 형법  제268조(금고형  선택)
[양형이유]
○ 양형기준 : 금고 8월 ~ 1년 6월
- 교통사고 치상 가중영역(교통사고처특례법 제3조 제2항 단서 중 위법성이 중한 경우)
○ 피고인이 교통사고처리특례법 제3조 제2항 단서 제1호, 제2호 사유에 해당하여 그 위법성의 정도가 크고, 피해자의 상해 정도 또한 중한 점, 피해자가 피고인의 처벌 을 탄원하고 있는 점 등을 종합하여 실형을 선택하되, 기록과 변론에 나타난 범행 경위, 종합보험 가입, 반성태도 등 여러 정상을 아울러 참작하여 주문과 같이 형을 정함(양형기준 비적용)"
5,"피고인은 2015. 2. 17. 17:34경 로디우스 승합차를 운전하고 제주시 도평동에 있는 도평초등학교 사거리 앞 3차로 도로를 노형동 방면에서 외도동 방면으로 위 도로 1차로를 따라 직진함에 있어, 그곳은 제한속도 시속 50km인 어린이보호구역으로 운전자는 전방을 잘 살피고 차의 조향 및 제동장치를 정확하게 조작하여 제한속도를 준수하여야 할 업무상 주의의무가 있음에도 불구하고 이를 게을리 한 채 만연히 제한속도를 시속 20km 초과하여 시속 101.5km로 진행한 과실로 위 사거리 앞 1차로에서 신호대기 중인 피해자 김○○(32세) 운전의 레조 승용차의 뒷범퍼 부분을 위 승합차의 앞범퍼 왼쪽 부분으로 들이받고, 차량의 파편이 위 도로 2차로에서 신호대기 중인 트라제XG 승합차를 충격하고, 계속하여 직진하면서 교차로 내 직진 중인 피해자 김□□(53세) 운전의 QM5 승용차의 뒷범퍼 오른쪽 부분을 위 승합차의 앞범퍼 부분으로 들이받고, 연이어 교차로 내 직진 중인 피해자 이○○(57세) 운전의 포르테 승용차의 뒷범퍼 부분을 위 승합차의 앞범퍼 부분으로 들이받고, 위 레조 승용차가 그 충격으로 반대차선으로 넘어가 위 레조 승용차의 문짝 부분으로 직진 중인 피해자 김◉(35세) 운전의 포터 화물차의 앞범퍼 부분을 들이받고, 위 화물차가 그 충격으로 뒤로 밀려나면서 위 화물차의 뒷범퍼 부분으로 정차 중인 그랜저 승용차의 앞범퍼 부분을 들이받고 위 그랜저가 뒤로 밀려나면서 위 승용차의 뒷범퍼 부분으로 정차 중인 피해자 부○○(여, 47세) 운전의 칼로스 승용차의 앞범퍼 부분을 들이받고, 한편 위 QM5 승용차가 그 충격으로 반대차선으로 넘어가 위 QM5 승용차의 앞범퍼 부분으로 스타렉스 승합차의 앞범퍼 부분을 들이받고, 위 QM5 승용차가 계속 밀려나면서 그 앞범퍼 부분으로 위 칼로스 승용차의 앞범퍼 왼쪽 부분을 들이받고, 재차 위 QM5 승용차의 앞범퍼 부분으로 버스의 옆부분을 들이받았다.
피고인은 위와 같은 충격으로 위 레조 승용차에 탑승한 피해자 김△△(여, 65세)으로 하여금 같은 날 18:02경 제주 제주시 도령로 65에 있는 제주한라병원에서 다발성늑골 골절로 인한 출혈성 쇼크 등으로 사망에 이르게 하고, 위 레조 승용차에 탑승한 피해자 김◇◇(여, 37세)으로 하여금 같은 날 20:08경 제주시 월랑로91에 있는 에스-중앙병원에서 간손상으로 인한 복강내 출혈 등으로 사망에 이르게 하고, 위 레조 승용차의 운전자인 피해자 김○○(32세)에게 약 3주간의 치료를 요하는 요추부 염좌상 등을 입게 한 것을 비롯하여, 별지 범죄일람표 기재와 같이 총 10명의 피해자에게 상해를 입게 하였다.","1. 범죄사실에 대한 해당법조
각 교통사고처리 특례법 제3조 제1항, 제2항 단서 제3호, 형법 제268조
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
금고형 선택
1. 집행유예
형법 제62조 제1항"
6,"[양형기준]
일반 교통사고 > 제2유형(교통사고 치사) > 가중영역(권고형의 범위: 금고 1년~3년/특별가중인자: 중상해가 발생한 경우)","1. 범죄사실에 대한 해당법조 및 형의 선택 : 교통사고처리특례법 제3조 제1항, 제2항 단서 제2호, 제3호, 형법 제268조
1. 상상적 경합 : 형법 제40조, 제50조
1. 형의 선택 : 금고형 선택"
7,"피고인 C은 L 싼타페 승용차 운전자인바, 피고인은 2013. 5. 7. 7:10경 위 승용차를 운전하여 서울 강남구 역삼동 784-14 소재 강남 세브란스 병원 사거리 교차로를 한티역 방면에서 도곡1동 사무소 입구 사거리 방면으로 진행하게 되었다.
그곳은 차량 통행이 빈번한 사거리 교차로이고 전방에는 횡단보도가 설치되어 있었으므로 이러한 경우 차량 운전자는 전방 및 좌우를 잘 살피고 차선을 지키며 조향 및 제동장치를 안전하게 조작하여 사고를 미연에 방지할 업무상 주의의무가 있었다.
그럼에도 피고인은 피고인 진행방향 좌측 1차로에서 진행하던 A 운전의 위 BMW X5 승용차가 우측으로 방향을 틀면서 우측 조수석 부분으로 B 운전의 위 마티즈 차량 좌측 앞 펜더 부분을 들이받고(이하 '1차 사고'라고 한다), 계속하여 B이 조향장치를 우측으로 틀면서 옆 차선으로 차선을 변경하면서 위 마티즈 차량 우측 옆 부분 및 우측 뒷부분으로 피고인 차량 좌측 앞부분 및 옆 부분으로 충돌하자(이하 '2차 사고'라 한다) 피고인은 차량 조향장치를 우측으로 조작하면서 제동장치를 정확하게 조작하지 않은 과실로 피고인 차량이 우측 인도를 침범하여 횡단보도를 건너기 위하여 서 있던 피해자 M(여, 27세)의 몸통 부위를 피고인 차량 앞부분으로 들이받고 머리 부위를 앞 유리창 부분으로 들이받았다(이하 '이 사건 교통사고'라 한다).
결국 피고인은 위와 같은 업무상 과실로 피해자에게 치료일수 불상의 뇌기능 손상 인지장애 등의 중상해를 입게 하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택(피고인 C)
교통사고처리 특례법 제3조 제1항, 제2항 단서 제9호, 형법 제268조(벌금형 선택)
1. 노역장유치(피고인 C)
형법 제70조 제1항, 제69조 제2항
1. 가납명령(피고인 C)
형사소송법 제334조 제1항"
8,"피고인 甲은 ****호 화물차량을 운전하는 업무에 종사하는 사람이다.
피고인 甲은 2013. 9. 14. 03:55경 위 화물차를 운전하여 대전 동구에 있는 편도 3차로의 도로를 **네거리 방면에서 **육교 방면으로 2차로를 따라 시속 약 시속 90㎞로 진행하게 되었다.
당시는 야간이고 그곳은 제한속도가 시속 50㎞인 구간이었으므로 이러한 경우 자동차를 운전하는 사람에게는 지정속도에 따라 진행하고 전방좌우를 잘 살피고 조향장치 및 제동장치를 정확하게 조작하여 사고를 미연에 방지하여야 할 업무상 주의의무가 있었다.
그럼에도 불구하고 피고인 甲은 이를 게을리 한 채 시속 90㎞로 과속운행한 과실로 피고인 차량 좌측에서 우측으로 무단 횡단하는 피해자 A를 발견하고 급제동하였으나 그에 미치지 못하여 위 화물차 전면 부분으로 피해자의 머리 및 하체 부위를 들이받아 피해자에게 다발성 늑골 골절 등의 상해를 입게 하고, 2013. 9. 14. 05:32경 대전 중구에 있는 **병원에서 치료를 받던 중 혈복증, 저혈량성 쇼크로 사망에 이르게 하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리 특례법 제3조 제1항, 형법 제268조(금고형 선택)
1. 집행유예
형법 제62조 제1항(피해자 유족과 합의한 점, 이 사건 사고의 발생에는 도로를 무단횡단한 피해자의 과실도 관여한 것으로 인정되는 점 등 참작)
무 죄 부 분
1. 피고인 乙에 대한 공소사실의 요지
피고인은 2013. 9. 14. 04:00경 대전 ****호 쏘나타 택시를 운전하여 대전 동구 편도 3차로의 도로를 **네거리 방면에서 **육교 방면으로 3차로를 따라 불상의 속력으로 진행하게 되었는데, 전방을 주시하여 도로 상에 사람이 없는지 잘 살피고 조향장치 및 제동장치를 정확하게 조작하여 안전하게 운전하여야 할 업무상 주의의무가 있음에도 이를 게을리하여 피고인 甲 운전의 화물차량에 충격되어 3차로에 쓰러져 있는 피해자 A를 발견하지 못하고 그대로 진행하여 위 택시 좌측 바퀴 부분으로 피해자의 우측 다리 부위를 역과하여 피해자에게 다발성 골절 등의 상해를 입게 하고, 2013. 9. 14. 05:32경 대전 중구에 있는 **병원에서 치료를 받던 중 혈복증, 저혈량성 쇼크로 사망에 이르게 하였다."
9,"1. 교통사고처리특례법위반
피고인은 B 덤프트럭 운전업무에 종사하는 사람이다.
피고인은 2015. 6. 7. 06:38경 위 트럭을 운전하여 강원 정선군 임계면 송계리 1046에 있는 편도 1차선의 도로를 임계 쪽에서 동해 쪽으로 시속 약 60km로 진행하던 중, 전방에서 진행하던 피해자 C(여, 58세) 운전의 D 그레이스 승합차를 추월하기 위해 중앙선을 넘어갔으나 혈중알콜농도 0.053%의 술에 취한 상태로 전방을 잘 살피지 못하고 조향 및 제동장치를 정확히 조작하지 못한 과실로, 좌회전을 하려던 위 승합차의 우측면을 피고인의 트럭 전면부로 충격하였다.
결국 피고인은 위와 같은 업무상 과실로 피해자 C, 피해차량 동승자인 피해자 E(여,54세)에게 약 3주간의 치료가 필요한 경추부 염좌 등의 상해를, 동 피해자 F(여, 60세)에게 약 10주간의 치료가 필요한 치아돌기 파절 등의 상해를, 동 피해자 G(여, 71세)에게 약 8주간의 치료가 필요한 다발성 골절 등의 상해를, 동 피해자 H(여, 72세)에게 치료일수 미상의 치아돌기 파절의 상해를, 동 피해자 I(여, 59세)에게 약 2주간의 치료가 필요한 경추부 염좌 등의 상해를 각 입게 하였다.
2. 도로교통법위반(음주운전)
피고인은 2015. 6. 7. 05:30경 동해시 J에 있는 피고인의 집  앞 도로에서부터 제1항 기재 장소에 이르기까지  혈중알콜농도 0.053%의 술에 취한 상태로 위 트럭을 운전하였다.","1. 범죄사실에 대한 해당법조
교통사고처리특례법  제3조 제1항, 제2항 단서  제8호, 형법  제268조(각 금고형  선택), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(징역형 선택)
1. 상상적 경합
형법 제40조, 제50조
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2"
10,"1. 업무상 과실치상의 점
피고인은 로체 승용차의 운전업무에 종사하는 사람이다.
피고인은 2014. 12. 8. 11:55경 혈중알콜농도 0.120퍼센트의 술에 취한 상태에서 위 승용차를 운전하여 울산 울주군 온산읍 덕신리 소재 덕신2차 시장 앞 도로를 B스토어 방면에서 C아파트 방면으로 직진하던 중 전방주시의무를 소홀히 한 업무상 과실로 차량의 우측에서 걸어가던 피해자 김○○(여, 48세)의 몸통 부위를 차량 우측 휀더 부분으로 들이받아 피해자에게 약 8주간의 치료가 필요한 폐쇄성 늑골 골절 등의 상해를 입게 하였다.
2. 음주운전의 점
피고인은 제1항 기재와 같은 일시경 울산 울주군 온산읍 덕신리 상호불상음식점 앞 도로에서부터 같은 리 덕신2차 시장 앞 도로에 이르기까지 약 1킬로미터 구간에서 혈중알콜농도 0.120퍼센트의 술에 취한 상태로 위 승용차를 운전하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리특례법 제3조 제1항, 제2항 단서 제8호, 형법 제268조(업무상 과실치상의 점, 금고형 선택), 도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점, 징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조"
